DEPT    CAL   CILD   CNSS    DT    DRHO   GR    RHOB    ILD    SP                                                                
   209.200    11.1180    55.1180   -99999.0    88.9760   -99999.0    36.3780   -99999.0    22.3620    43.7800 
   209.400    11.3390    86.6140   -99999.0   100.3150   -99999.0    39.9210   -99999.0    15.7480    43.7800 
   209.600    12.4089   124.4102   -99999.0   106.8477   -99999.0    49.8438   -99999.0    13.8582    43.4648 
   209.800    12.6300   159.0550   -99999.0   115.9060   -99999.0    58.5830   -99999.0     6.6770    42.8350 
   210.000    12.7090   181.1020   -99999.0   122.9920   -99999.0    68.2680   -99999.0     5.7950    42.5200 
   210.200    12.5980   203.1500   -99999.0   131.8110   -99999.0    74.1730   -99999.0     4.6610    42.2050 
   210.400    12.2830   240.9450   -99999.0   138.8980   -99999.0    77.2440   -99999.0     4.2200    41.8900 
   210.600    12.0310   262.9922   -99999.0   140.0000   -99999.0    77.4800   -99999.0     3.8108    41.8900 
   210.800    12.0940   266.1418   -99999.0   140.0000   -99999.0    79.3700   -99999.0     3.9060    42.2050 
   211.000    11.9690   244.0940   -99999.0   140.0000   -99999.0    76.2990   -99999.0     4.3460    42.5200 
   211.200    12.0000   222.0470   -99999.0   140.0000   -99999.0    76.2990   -99999.0     4.8190    42.8350 
   211.400    12.2360   190.5510   -99999.0   139.9210   -99999.0    79.1340   -99999.0     5.3540    43.1500 
   211.600    12.6140   154.3359   -99999.0   132.3594   -99999.0    77.4797   -99999.0     6.1099    43.7800 
   211.800    12.6610   124.4090   -99999.0   124.9610   -99999.0    70.8660   -99999.0     6.9920    44.4090 
   212.000    12.6610   105.5120   -99999.0   111.3390   -99999.0    67.7950   -99999.0     7.9370    44.7240 
   212.200    12.6460   103.9370   -99999.0   106.6930   -99999.0    67.7950   -99999.0     9.3230    45.0390 
   212.400    12.6300   100.7870   -99999.0   109.9210   -99999.0    69.9210   -99999.0     9.7010    45.6690 
   212.600    12.6610   103.9370   -99999.0   112.0471   -99999.0    70.3943   -99999.0     9.6060    45.6690 
   212.800    12.6930   107.0870   -99999.0   108.3460   -99999.0    71.1020   -99999.0     9.4800    45.6690 
   213.000    12.7560   110.2360   -99999.0   108.1890   -99999.0    76.7720   -99999.0     9.4800    45.6690 
   213.200    12.8190   114.9610   -99999.0   114.1730   -99999.0    78.8980   -99999.0     9.0710    45.0390 
   213.400    12.8980   121.2600   -99999.0   116.5350   -99999.0    75.5910   -99999.0     8.5980    44.0940 
   213.600    12.9760   118.1101   -99999.0   113.3860   -99999.0    72.9922   -99999.0     8.4720    43.4651 
   213.800    13.0240   114.9610   -99999.0   110.7870   -99999.0    72.5200   -99999.0     8.6930    42.5200 
   214.000    13.0080   110.2360   -99999.0   111.8900   -99999.0    73.4650   -99999.0     9.1650    42.5200 
   214.200    12.9920   100.7870   -99999.0   118.1100   -99999.0    73.7010   -99999.0     9.9210    42.2050 
   214.400    12.6610    89.7640   -99999.0   119.2910   -99999.0    73.2280   -99999.0    10.4250    42.5200 
   214.600    11.5430    78.7383   -99999.0   115.2734   -99999.0    72.0469   -99999.0    12.4717    42.5200 
   214.800    11.0240    66.1420   -99999.0   106.0630   -99999.0    64.2520   -99999.0    14.7090    42.2050 
   215.000    11.1180    51.9690   -99999.0    98.1100   -99999.0    54.8030   -99999.0    17.7320    41.5750 
   215.200    11.2130    48.8190   -99999.0   100.5510   -99999.0    48.6610   -99999.0    20.0000    40.9450 
   215.400    11.2760    44.0938   -99999.0   102.4409   -99999.0    47.2439   -99999.0    21.1021    40.3149 
   215.600    11.2440    44.0940   -99999.0   105.6690   -99999.0    45.8270   -99999.0    22.0470    39.3700 
   215.800    11.1650    42.5200   -99999.0   105.9840   -99999.0    46.5350   -99999.0    22.9920    39.6850 
   216.000    11.1500    37.7950   -99999.0   103.7800   -99999.0    46.2990   -99999.0    24.8820    39.6850 
   216.200    11.0550    33.0710   -99999.0   103.2280   -99999.0    46.0630   -99999.0    31.8110    39.6850 
   216.400    10.9610    31.4958   -99999.0   103.8579   -99999.0    45.5911   -99999.0    35.9062    39.3699 
